datetime_utc, _tempm
7/1/2021 16:10,24.1
7/1/2021 17:10,24.07
7/1/2021 18:10,23.72
7/1/2021 19:10,23.59
7/1/2021 20:10,23.84
7/1/2021 21:11,23.57
7/1/2021 22:10,23.59
7/1/2021 23:13,23.23
7/2/2021 0:10,23.41
7/2/2021 1:10,23.58
7/2/2021 2:10,23.65
7/2/2021 3:10,24.07
7/2/2021 4:10,24.37
7/2/2021 5:10,24.16
7/2/2021 6:10,24.55
7/2/2021 7:10,24.54
7/2/2021 8:11,24.76
7/2/2021 9:10,25.04
7/2/2021 10:10,25.05
7/2/2021 11:10,24.44
7/2/2021 12:10,24.4
7/2/2021 13:10,24.34
7/2/2021 14:10,24.24
7/2/2021 15:10,24.42
7/2/2021 16:10,24.08
7/2/2021 17:11,23.84
7/2/2021 18:10,24.1
7/2/2021 19:11,23.55
7/2/2021 20:10,23.85
7/2/2021 21:10,23.67
7/2/2021 22:10,23.8
7/2/2021 23:10,23.45
7/3/2021 0:10,23.67
7/3/2021 1:10,23.75
7/3/2021 2:10,24.08
7/3/2021 3:10,24.28
7/3/2021 4:12,23.83
7/3/2021 5:10,24.51
7/3/2021 6:11,24.24
7/3/2021 7:10,24.6
7/3/2021 8:10,25.12
7/3/2021 9:10,24.64
7/3/2021 10:10,24.12
7/3/2021 11:11,24.37
7/3/2021 12:10,23.83
7/3/2021 13:10,23.72
7/3/2021 14:10,24.17
7/3/2021 15:10,23.7
7/3/2021 16:10,23.79
7/3/2021 17:10,23.47
7/3/2021 18:10,23.29
7/3/2021 19:10,23.49
7/3/2021 20:10,23.49
7/3/2021 21:10,23.62
7/3/2021 22:10,23.63
7/3/2021 23:10,23.6
7/4/2021 0:10,23.13
7/4/2021 1:10,23.64
7/4/2021 2:11,23.57
7/4/2021 3:10,23.85
7/4/2021 4:10,23.94
7/4/2021 5:10,24.25
7/4/2021 6:10,23.87
7/4/2021 7:10,24.29
7/4/2021 8:10,24.21
7/4/2021 9:10,24.48
7/4/2021 10:10,23.45
7/4/2021 11:10,23.1
7/4/2021 12:10,23.98
7/4/2021 13:10,23.74
7/4/2021 14:10,23.32
7/4/2021 15:10,23.33
7/4/2021 16:10,23.28
7/4/2021 17:11,23.08
7/4/2021 18:10,23.14
7/4/2021 19:10,23.23
7/4/2021 20:10,23.35
7/4/2021 21:10,22.91
7/4/2021 22:10,23.09
7/4/2021 23:10,23.3
7/5/2021 0:10,23.05
7/5/2021 1:10,23.33
7/5/2021 2:10,23.56
7/5/2021 3:10,23.55
7/5/2021 4:10,23.58
7/5/2021 5:10,23.31
7/5/2021 6:10,23.56
7/5/2021 7:10,22.79
7/5/2021 8:10,23.09
7/5/2021 9:10,22.67
7/5/2021 10:11,23.12
7/5/2021 11:10,22.81
7/5/2021 12:10,22.36
7/5/2021 13:11,22.49
7/5/2021 14:10,22.41
7/5/2021 15:10,22.48
7/5/2021 16:10,22.55
7/5/2021 17:10,22.64
7/5/2021 18:11,22.58
7/5/2021 19:10,22.68
7/5/2021 20:10,22.57
7/5/2021 21:10,22.47
7/5/2021 22:10,22.75
7/5/2021 23:10,22.65
7/6/2021 0:12,22.36
7/6/2021 1:10,22.66
7/6/2021 2:10,23.04
7/6/2021 3:10,23.76
7/6/2021 4:10,23.77
7/6/2021 5:10,23.35
7/6/2021 6:10,23.05
7/6/2021 7:10,23.4
7/6/2021 8:10,23.25
7/6/2021 9:10,23.32
7/6/2021 10:10,22.77
7/6/2021 11:10,22.86
7/6/2021 12:10,23.15
7/6/2021 13:10,22.67
7/6/2021 14:10,23.23
7/6/2021 15:10,22.96
7/6/2021 16:10,23.02
7/6/2021 17:10,22.67
7/6/2021 18:10,22.45
7/6/2021 19:10,22.49
7/6/2021 20:10,23.46
7/6/2021 21:10,22.14
7/6/2021 22:10,22.16
7/6/2021 23:10,22.89
7/7/2021 0:11,22.55
7/7/2021 1:10,22.59
7/7/2021 2:10,23.29
7/7/2021 3:10,23.29
7/7/2021 4:10,23.35
7/7/2021 5:10,23.39
7/7/2021 6:10,24.04
7/7/2021 7:10,24.22
7/7/2021 8:10,23.92
7/7/2021 9:10,23.28
7/7/2021 10:10,22.91
7/7/2021 11:10,22.9
7/7/2021 12:10,23.01
7/7/2021 13:10,22.61
7/7/2021 14:10,22.58
7/7/2021 15:10,22.54
7/7/2021 16:10,22.35
7/7/2021 17:10,22.62
7/7/2021 18:10,22.57
7/7/2021 19:10,22.53
7/7/2021 20:10,22.29
7/7/2021 21:10,22.41
7/7/2021 22:11,22.24
7/7/2021 23:10,22.3
7/8/2021 0:10,22.45
7/8/2021 1:10,22.41
7/8/2021 2:10,22.29
7/8/2021 3:10,22.85
7/8/2021 4:10,23.1
7/8/2021 5:10,23.73
7/8/2021 6:10,23.2
7/8/2021 7:11,23.47
